;LOCAL;SECAO;CANDIDATO;VOTOS
293;Associação de Laje;236;BENONI;33
294;EM Formosa;215;KINCA DIAS;29
295;EM Formosa;215;ANDERSON BRITO;7
296;EM Formosa;215;BENONI;23
297;Associação Boqueirão Medio;59;KINCA DIAS;32
298;Associação Boqueirão Medio;59;ANDERSON BRITO;19
299;Associação Boqueirão Medio;59;BENONI;9
300;EM Lajinha;77;KINCA DIAS;45
301;EM Lajinha;77;ANDERSON BRITO;2
302;EM Lajinha;77;BENONI;2
303;Associação Barreiros;143;KINCA DIAS;41
304;Associação Barreiros;143;ANDERSON BRITO;4
305;Associação Barreiros;143;BENONI;8
306;Associação Boqueirão Baixo;256;KINCA DIAS;40
307;Associação Boqueirão Baixo;256;ANDERSON BRITO;4
308;Associação Boqueirão Baixo;256;BENONI;2
309;EM Sucesso;170;KINCA DIAS;20
310;EM Sucesso;170;ANDERSON BRITO;4
311;EM Sucesso;170;BENONI;30
312;Associação Caiçara;168;KINCA DIAS;26
313;Associação Caiçara;168;BENONI;31
314;Associação Pinhãozeiro;158;KINCA DIAS;30
315;Associação Pinhãozeiro;158;ANDERSON BRITO;3
316;Associação Pinhãozeiro;158;BENONI;9
